page_cluster,jurisdiction,official_authority,official_url
Jurisdiction topic pages,UAE,UAE Government,https://u.ae/en/information-and-services/business/doing-business-on-the-mainland/steps-to-start-a-business-on-the-mainland
Jurisdiction topic pages,Singapore,ACRA,https://www.acra.gov.sg/register/business/
Jurisdiction topic pages,Hong Kong,Companies Registry,https://www.cr.gov.hk/en/services/register-company.htm
Jurisdiction topic pages,UK,GOV.UK / Companies House,https://www.gov.uk/limited-company-formation/register-your-company
Jurisdiction topic pages,USA,U.S. Small Business Administration,https://www.sba.gov/counseling/launch-your-business/
Jurisdiction topic pages,Malaysia,Companies Commission of Malaysia,https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx
